rater_id	rated_ID	Group	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22
6	7	2	6	2	3	6	4	1	2	6	4	2	4	2	5	6	7	1	1	7	5	6	7	7
6	8	2	4	2	1	4	1	2	1	5	2	7	2	2	5	6	4	1	1	3	3	5	7	7
6	9	2	4	1	1	3	1	5	1	4	1	7	1	3	4	4	2	1	1	2	2	3	7	7
6	10	2	4	1	1	3	2	2	1	3	2	5	1	4	3	3	2	1	1	3	2	4	7	7
7	6	2	4	2	3	4	3	3	3	5	3	3	3	3	4	4	4	1	1	4	4	5	7	7
7	8	2	5	2	2	5	2	1	2	5	2	3	2	2	5	5	4	1	1	5	4	4	7	7
7	9	2	4	1	1	3	1	2	2	4	2	2	2	2	4	2	2	1	1	3	3	3	5	5
7	10	2	4	2	4	3	4	2	2	4	3	5	3	3	4	1	2	1	2	3	3	3	4	4
8	6	2	7	1	5	6	4	1	4	7	5	3	6	4	7	7	7	4	2	6	6	6	7	7
8	7	2	6	2	4	5	3	2	3	6	5	2	5	3	6	6	7	2	2	6	5	6	7	7
8	9	2	5	2	1	5	2	3	2	5	2	6	3	5	6	5	5	1	2	3	2	5	6	6
8	10	2	2	2	2	3	3	4	2	3	2	6	2	5	5	4	3	2	2	3	1	4	6	6
9	6	2	7	1	4	7	3	1	1	7	3	3	2	3	7	7	6	1	1	6	7	6	7	7
9	7	2	6	2	2	4	2	1	1	7	1	3	2	3	6	4	4	1	1	4	6	5	6	7
9	8	2	4	3	2	4	3	1	1	6	3	2	3	2	6	6	5	1	1	4	4	6	7	7
9	10	2	6	2	1	4	1	1	1	6	1	2	2	2	5	3	4	1	1	4	1	4	7	7
10	6	2	6	1	4	5	3	2	1	6	3	1	2	4	5	6	7	1	1	6	6	6	7	7
10	7	2	5	3	2	4	2	2	2	6	3	2	4	4	5	5	5	2	2	5	3	5	5	5
10	8	2	5	2	2	5	2	2	1	5	2	6	2	6	4	5	5	2	2	5	2	3	6	5
10	9	2	5	5	2	4	1	3	1	6	2	6	2	5	4	3	3	1	1	2	2	2	7	7
11	12	3	7	1	1	6	1	1	1	7	1	2	1	5	7	6	6	1	1	4	4	7	7	7
11	13	3	6	2	2	6	4	2	2	6	2	3	5	3	7	7	5	1	2	6	7	7	7	6
11	14	3	7	1	4	6	3	1	2	7	2	2	2	2	7	7	7	1	1	5	5	7	7	7
11	15	3	7	1	1	6	1	1	1	7	1	2	1	4	7	6	6	1	1	6	6	7	7	7
12	11	3	7	1	1	2	1	1	1	4	1	6	1	7	6	7	6	1	1	3	4	2	7	7
12	13	3	4	6	7	2	7	6	7	2	2	1	3	4	2	4	2	1	7	2	7	3	4	1
12	14	3	6	2	1	6	4	2	1	6	3	1	4	2	5	7	7	1	2	7	5	5	7	7
12	15	3	5	1	3	5	6	4	7	5	6	1	4	5	1	3	5	5	2	6	6	7	7	7
13	11	3	6	1	4	5	3	1	1	7	4	7	5	5	7	7	7	1	1	4	3	5	7	7
13	12	3	5	1	2	5	2	1	1	6	3	5	4	4	6	6	6	1	1	4	4	5	7	7
13	14	3	6	1	6	5	7	2	3	6	6	3	5	5	6	7	7	1	1	5	5	6	7	7
13	15	3	4	4	5	5	6	3	6	4	6	1	6	2	6	6	6	4	4	7	6	6	4	5
14	11	3	6	4	1	2	1	5	1	6	1	1	1	2	6	7	5	1	1	4	1	5	6	6
14	12	3	5	4	3	5	2	1	1	6	1	5	1	4	5	6	6	1	1	2	2	4	6	6
14	13	3	3	4	4	1	2	4	2	2	1	4	5	4	4	6	4	1	6	6	6	4	6	4
14	15	3	4	4	4	2	4	2	3	4	2	4	4	4	6	6	5	3	3	4	3	4	6	6
15	11	3	7	1	1	5	1	1	2	7	3	6	3	5	7	7	6	1	1	5	3	6	7	7
15	12	3	7	1	1	6	1	1	1	7	2	6	3	6	7	7	7	1	1	4	2	6	7	7
15	13	3	5	5	3	6	2	2	3	6	2	4	3	5	6	7	7	1	3	6	7	6	6	5
15	14	3	7	3	4	6	3	1	3	6	3	3	3	2	6	7	7	2	2	6	5	6	7	7
16	17	4	6	1	1	4	1	1	1	6	1	4	1	4	7	6	5	1	1	4	1	4	6	6
16	18	4	7	1	1	4	1	1	1	7	1	4	1	2	6	5	6	1	1	5	1	7	7	7
16	19	4	4	1	1	4	1	1	1	6	1	2	1	1	6	4	5	1	1	4	2	7	6	6
16	20	4	7	1	5	7	5	1	1	7	2	1	1	1	7	7	6	1	1	7	7	7	7	7
17	16	4	7	1	2	4	2	1	1	6	1	1	1	5	4	3	3	1	1	4	4	5	6	6
17	18	4	6	5	4	4	4	3	1	5	2	3	4	4	3	4	4	2	1	1	1	2	5	5
17	19	4	6	1	1	1	1	1	1	5	1	2	1	4	2	3	3	1	1	3	2	2	6	6
17	20	4	6	2	3	4	2	2	1	6	2	2	2	3	3	5	5	1	1	5	5	5	6	6
18	16	4	6	2	1	4	2	2	2	6	1	6	1	6	6	5	5	1	1	5	5	5	7	7
18	17	4	6	1	1	4	1	1	1	6	1	5	2	1	7	7	6	1	1	4	4	5	7	7
